symbol,tp_atr,sl_atr,conf_floor,trades,win_rate,profit_factor,expectancy_atr,total_return_percent
BNBUSDT,3.0,1.5,0.48,41,0.6341,1.117089668962928,0.0342,3.31
BNBUSDT,3.0,1.5,0.52,18,0.6111,0.7356460929828994,-1.1163,-6.01
BNBUSDT,3.0,1.5,0.56,11,0.5455,0.1523994987129932,-7.0131,-39.74
BNBUSDT,4.0,1.5,0.36,81,0.4321,0.5757282799202466,-1.2895,-43.85
BNBUSDT,4.0,1.5,0.4,34,0.6176,1.3534653614040162,0.3628,8.97
BNBUSDT,4.0,1.5,0.44,15,0.7333,2.050257274560802,0.6219,11.79
BNBUSDT,4.0,1.5,0.48,10,0.7,0.4275263254000084,-3.818,-17.87
BNBUSDT,4.0,1.5,0.52,4,0.5,0.8455431961024824,-0.2117,-0.2
BNBUSDT,4.0,1.5,0.56,1,0.0,0.0,-1.4517,-0.42
BTCUSDT,1.5,1.0,0.36,2038,0.3921,0.4534596054781014,-0.5696,-632.22
BTCUSDT,1.5,1.0,0.4,1924,0.3955,0.4489455567551751,-0.58,-605.94
BTCUSDT,1.5,1.0,0.44,1116,0.4167,0.4267313502538487,-0.6514,-371.93
BTCUSDT,1.5,1.0,0.48,594,0.4007,0.37776314475671785,-0.8073,-228.11
BTCUSDT,1.5,1.0,0.52,304,0.4079,0.30924353261784226,-1.0213,-140.44
BTCUSDT,1.5,1.0,0.56,140,0.3857,0.26432692100712546,-1.0635,-70.83
BTCUSDT,2.0,1.0,0.36,1153,0.3651,0.5098544235362595,-0.5766,-354.11
BTCUSDT,2.0,1.0,0.4,593,0.3828,0.5141268894342279,-0.6931,-180.15
BTCUSDT,2.0,1.0,0.44,331,0.432,0.5131118854810489,-0.6802,-101.77
BTCUSDT,2.0,1.0,0.48,153,0.4183,0.3611319745684223,-1.174,-79.38
BTCUSDT,2.0,1.0,0.52,63,0.381,0.2533965032153353,-2.105,-46.65
BTCUSDT,2.0,1.0,0.56,21,0.2857,0.1515055072241244,-3.6165,-24.62
BTCUSDT,2.0,1.5,0.36,1246,0.4213,0.5380477567079807,-0.5834,-401.69
BTCUSDT,2.0,1.5,0.4,1180,0.422,0.5420233198668625,-0.5798,-372.23
BTCUSDT,2.0,1.5,0.44,912,0.4463,0.5670316060285251,-0.5763,-269.51
BTCUSDT,2.0,1.5,0.48,510,0.4765,0.5457813329936094,-0.6636,-161.57
BTCUSDT,2.0,1.5,0.52,302,0.4735,0.47930422033661285,-0.8084,-116.32
BTCUSDT,2.0,1.5,0.56,145,0.4759,0.38623714757253363,-1.2958,-73.42
